YearsExperience,Salary
14.5,95882.48
15.4,102411.07
2.2,43128.03
18.3,105870.51
4.6,41710.93
0.7,37156.98
11.1,84700.9
7.4,59217.51
16.6,97260.66
16.2,103296.14
6.3,62073.35
19.1,123140.38
5.8,58165.19
10.3,74863.13
5.1,49377.48
18.7,114195.81
3.3,43652.94
0.9,29989.73
8.7,77345.02
19.8,126240.67
17.8,114644.19
15.0,93816.6
17.8,113520.08
17.9,113108.51
10.4,78570.18
6.3,63348.66
15.4,101841.48
13.2,92360.06
7.5,66297.63
1.9,39913.17
14.9,89915.56
5.2,53734.48
18.7,111925.23
4.8,46480.64
2.5,47977.27
16.6,111615.98
3.1,49386.88
3.6,47220.85
12.0,89402.5
17.5,108798.21
3.9,48361.19
6.2,53526.11
15.5,101337.97
19.4,117541.54
10.0,69789.39
2.9,42845.21
0.3,31031.08
4.6,57890.24
2.6,45276.85
13.6,91245.78
2.4,41795.15
10.1,75626.85
13.9,91738.34
11.6,77870.29
4.0,47395.79
16.1,99465.61
14.3,89348.74
14.8,98644.89
2.6,43265.06
2.5,34103.17
18.6,113209.26
8.0,69982.81
6.0,61236.89
9.8,78203.35
13.3,90005.65
19.1,112569.82
5.7,51315.2
18.5,114628.42
0.5,33767.12
11.1,85099.32
12.7,91549.92
2.1,38921.09
2.8,37623.18
8.4,66523.57
19.3,117718.92
11.9,82741.67
18.7,111838.42
16.1,103461.54
9.3,69834.17
15.7,98137.74
0.4,33045.81
2.2,38292.03
16.6,105676.42
15.9,102642.82
4.7,46592.28
10.6,75775.04
12.1,90201.11
17.4,103651.68
12.1,75983.38
8.3,59902.62
7.5,63866.44
8.5,68373.67
13.0,88029.56
17.3,112706.76
9.1,60258.66
5.0,54083.74
4.7,57395.75
14.9,92538.88
16.3,101830.77
2.1,36438.43
1.3,32272.62
11.9,82244.95
2.9,48759.94
16.5,111599.55
6.2,56556.24
2.9,50670.24
18.4,112942.31
3.3,51864.76
5.7,55276.81
3.1,44474.23
2.3,41811.9
0.4,44515.41
1.1,38355.14
3.5,42920.94
1.1,38825.99
11.8,81652.67
13.6,89241.0
7.9,69184.41
6.4,58924.34
10.1,76564.3
17.5,108805.94
17.0,107846.33
0.9,35749.86
3.6,38452.13
4.7,53816.29
5.0,48571.92
11.4,75530.8
8.3,67116.36
1.0,34835.92
7.5,60975.98
10.5,80574.13
2.0,33631.3
16.7,103522.23
1.0,32160.5
18.5,113063.65
2.0,40115.46
16.9,102018.43
18.1,114347.13
19.6,118452.01
16.0,94432.21
15.6,92365.63
12.8,87550.72
15.6,99316.13
2.7,41736.32
10.7,78038.07
10.3,77252.24
17.2,111190.6
9.3,67405.58
7.7,59962.11
12.8,83226.7
5.3,55005.67
2.8,47579.79
9.6,71474.64
8.3,57343.2
4.7,44334.03
7.4,59967.85
7.3,60619.08
6.5,57616.45
7.6,64354.32
13.7,90403.01
5.9,60747.36
19.0,112795.93
18.3,108900.73
9.6,75115.5
6.6,53557.43
10.7,79708.77
17.0,106910.21
13.1,88360.23
16.1,108803.1
10.7,75661.17
12.7,95391.19
5.8,55198.27
14.7,91041.93
4.0,48279.68
13.9,88245.02
17.2,104392.98
2.6,43288.13
12.3,87572.33
1.9,36061.33
14.5,99199.62
1.7,42280.03
18.7,119895.21
2.7,44267.65
19.2,121853.71
16.0,94476.81
11.9,82278.37
15.7,97181.98
15.9,102026.9
18.9,112764.2
5.1,52285.37
11.8,90628.7
1.9,37871.12
12.3,87005.17
3.4,44370.92
11.3,81152.85
11.4,81324.07
9.3,73643.3
10.5,81911.23
15.3,105439.58
16.0,103238.48
9.8,76458.19
12.0,79396.54
18.6,113348.49
2.4,44561.16
2.3,43813.87
1.8,38946.44
13.2,92945.58
8.4,69763.07
15.5,104551.23
13.4,91457.44
6.7,58727.21
18.0,112343.37
15.3,87127.62
5.4,55831.54
7.3,48256.35
6.3,51456.15
3.2,46207.07
3.0,45410.12
18.7,109500.28
8.8,66751.59
7.7,70132.16
14.6,93763.88
11.1,88921.68
18.7,114142.32
15.6,101832.14
9.6,79667.5
7.5,64274.11
19.7,114640.62
14.4,94361.09
19.0,115357.56
2.4,35341.03
17.0,105476.67
12.7,84181.23
2.4,44497.43
11.8,83238.45
13.7,90518.82
0.2,30475.27
9.1,71842.49
16.5,106717.26
5.9,52551.15
9.2,67233.65
8.8,74018.72
6.0,55350.65
18.4,107132.63
15.6,101975.25
2.2,41753.48
19.9,113427.14
17.6,110117.93
5.7,58592.33
16.7,106647.55
2.1,41977.93
20.0,114382.92
13.3,91174.16
13.0,87289.52
1.8,36168.84
17.9,114032.22
0.6,38617.1
4.8,58777.48
2.9,48309.23
15.5,99311.06
4.0,49410.88
18.2,114967.29
13.1,89434.71
0.7,33673.06
0.1,33745.01
1.0,34262.87
12.1,81532.85
16.0,100342.11
4.8,54135.64
17.0,106511.97
1.1,36310.84
16.0,104680.32
18.6,112200.63
15.4,102324.99
14.0,94515.37
16.8,100660.75
0.8,39369.22
4.0,45997.02
2.5,34629.62
10.1,71269.83
14.9,92965.82
12.6,86908.69
17.0,105404.6
3.1,42602.67
14.7,98628.81
3.9,48909.5
5.4,55564.19
14.2,95539.31
19.6,120664.54
12.2,76468.19
1.1,33492.25
12.3,76629.16
0.8,33744.24
17.7,109631.47
14.2,98082.13
3.5,50500.54
1.8,38911.1
3.7,44648.56
19.6,120140.64
9.2,69288.33
15.7,100644.43
12.7,91094.55
11.4,79068.91
2.9,46272.71
18.9,117759.61
6.0,53180.83
11.6,86095.58
14.0,95794.27
13.0,88907.7
18.8,111550.71
3.0,40063.18
10.2,73749.35
8.1,68620.38
9.5,68927.5
2.4,42550.05
2.7,37182.98
5.6,54383.73
6.1,57888.59
8.6,78480.52
12.2,79390.74
12.7,93038.06
8.2,67499.37
8.2,68544.69
4.4,50273.39
11.8,84878.91
6.3,57735.26
0.7,38966.2
8.4,65974.12
9.5,77278.94
4.5,47672.53
11.4,81058.99
11.3,76562.15
14.0,94820.09
13.0,94280.5
13.0,88190.58
6.3,57562.46
15.7,96191.53
11.0,78582.83
8.6,62328.82
12.5,82598.49
7.2,63307.14
10.3,81626.05
14.7,107386.84
17.7,107303.66
18.4,118541.2
10.1,76425.01
10.4,76195.01
16.0,103730.38
6.3,58597.67
16.7,105591.58
9.9,72916.67
2.3,34757.56
1.4,30125.5
16.8,108212.98
1.1,33843.2
5.6,52815.64
6.7,60184.02
3.5,48929.73
6.3,59071.46
14.9,94425.78
0.3,36255.17
16.5,110566.74
17.1,108928.23
7.4,67194.65
3.1,48917.84
12.0,88520.4
2.4,43256.4
7.3,65243.39
19.2,118478.64
19.9,115160.65
15.4,102102.89
6.2,52476.74
13.8,88921.6
14.1,98664.26
7.8,68460.88
12.8,93549.59
0.2,29813.3
4.2,44291.0
10.5,76288.25
3.3,45258.13
3.3,45165.95
16.7,109684.72
19.8,117654.92
11.1,81358.14
16.8,101645.49
19.8,120901.27
2.8,42612.43
9.0,67500.75
7.9,64606.68
1.6,36463.3
15.1,96869.38
8.7,76235.36
9.4,71906.22
3.0,42524.42
3.6,37810.2
18.1,107873.17
0.9,32997.71
4.7,48406.59
5.8,61626.83
9.8,73440.25
11.7,87803.78
9.9,74796.82
1.7,37798.91
4.9,51694.81
16.9,106065.19
12.8,94475.18
13.0,79221.56
13.4,82293.82
15.3,96677.32
1.2,35458.11
7.3,65610.42
10.8,80492.35
6.8,59063.02
16.9,110126.17
9.7,77770.78
15.4,100036.23
17.0,110350.63
10.1,76540.58
18.2,109654.07
11.7,85441.27
17.0,106942.45
6.8,60605.36
10.0,80891.81
10.6,67896.51
2.1,33779.26
8.0,61251.72
18.3,110896.96
12.6,85681.57
3.6,40170.7
6.8,56659.37
3.8,43656.63
0.5,42079.7
18.5,120456.97
9.0,68853.0
6.2,56445.67
12.0,79403.18
0.1,25000.0
5.6,54732.48
14.1,89458.59
12.7,86810.6
19.6,111799.18
12.4,82752.1
